x,y,duration_ms
479,480,338.777099609375
245,227,145.38818359375
85,188,109.541015625
357,346,169.7724609375
225,145,158.679443359375
367,252,100.6103515625
546,358,166.22705078125
340,398,290.947509765625
399,381,287.6220703125
619,387,278.231689453125
625,434,200.21875
497,404,203.098876953125
582,388,149.162353515625
625,376,820.827880859375
640,405,681.970703125
563,411,183.766357421875
621,308,797.070556640625
640,280,2301.136474609375
640,319,245.1298828125
640,352,307.160888671875
640,384,395.478271484375
640,421,295.53564453125
640,453,3395.9443359375
557,434,285.466552734375
431,476,189.335693359375
426,479,177.0068359375
491,480,312.140869140625
451,480,451.951171875
591,480,175.1572265625
629,480,4175.49853515625
547,480,548.276123046875
628,393,314.802734375
639,365,181.572021484375
640,469,1444.73828125
640,391,155.61376953125
