x,y,timestamp
688,234,1743456059.9585507
688,229,1743456060.0584
688,227,1743456060.1328115
688,226,1743456060.2089617
688,225,1743456060.2892082
688,225,1743456060.354796
688,236,1743456060.4292445
688,230,1743456060.5113053
688,227,1743456060.5895095
688,226,1743456060.651932
688,225,1743456060.7296164
688,225,1743456060.8050294
688,225,1743456060.8816118
688,225,1743456060.9605243
688,225,1743456061.048035
688,213,1743456061.126614
688,207,1743456061.2031503
688,204,1743456061.2936234
688,203,1743456061.3761578
688,202,1743456061.460991
688,202,1743456061.5471814
688,213,1743456061.6321115
688,219,1743456061.722444
688,222,1743456061.815062
688,223,1743456061.902283
688,224,1743456061.9822214
688,247,1743456062.064813
688,258,1743456062.1515362
688,264,1743456062.2395442
688,267,1743456062.309943
688,280,1743456062.3904977
688,286,1743456062.4547355
688,289,1743456062.5313067
688,302,1743456062.6128285
688,309,1743456062.6976588
688,312,1743456062.7701654
688,291,1743456062.8352118
688,303,1743456062.9075036
688,309,1743456062.9897966
688,312,1743456063.0733483
688,337,1743456063.1656437
688,349,1743456063.2591805
688,355,1743456063.3295748
688,358,1743456063.407558
688,372,1743456063.4878063
688,378,1743456063.5547163
688,381,1743456063.632722
688,383,1743456063.7489405
688,384,1743456063.8320274
688,384,1743456063.9222236
688,384,1743456064.000036
688,384,1743456064.0771098
688,384,1743456064.159658
688,385,1743456064.2511413
688,373,1743456064.3507826
688,367,1743456064.442917
688,376,1743456064.5451643
688,392,1743456064.6271784
688,388,1743456064.70939
688,375,1743456064.7699926
688,368,1743456064.845597
688,365,1743456064.9244897
688,363,1743456065.0073102
688,362,1743456065.0828676
688,362,1743456065.162417
688,373,1743456065.2404196
688,390,1743456065.3164046
688,399,1743456065.3938165
688,403,1743456065.4734294
688,405,1743456065.5528064
688,406,1743456065.6307774
688,407,1743456065.7084773
688,407,1743456065.7877567
688,407,1743456065.8537147
688,407,1743456065.928725
688,408,1743456066.0097709
688,408,1743456066.086284
688,408,1743456066.1566522
688,408,1743456066.240027
688,408,1743456066.3052716
688,408,1743456066.365721
688,408,1743456066.4474564
688,384,1743456066.5244656
688,373,1743456066.6116586
688,367,1743456066.7077248
688,364,1743456066.787327
688,363,1743456066.8685255
688,362,1743456066.9486663
688,362,1743456067.0286663
661,362,1743456067.106532
605,362,1743456067.2007654
603,373,1743456067.2934473
602,379,1743456067.3850324
601,382,1743456067.486232
566,395,1743456067.5667644
514,401,1743456067.641311
479,404,1743456067.7164536
462,406,1743456067.812439
453,407,1743456067.9057894
440,407,1743456068.0019472
434,407,1743456068.09771
474,407,1743456068.186862
494,407,1743456068.2674367
495,408,1743456068.363869
539,408,1743456068.4389985
562,408,1743456068.5187602
564,408,1743456068.5937085
556,408,1743456068.6722984
518,408,1743456068.7511394
499,408,1743456068.8309488
498,408,1743456068.9093292
497,408,1743456068.988331
497,408,1743456069.0642643
497,408,1743456069.1433887
497,408,1743456069.2232754
522,408,1743456069.2828999
544,408,1743456069.3484547
598,408,1743456069.4225082
625,408,1743456069.4992368
639,408,1743456069.5803828
646,408,1743456069.6614914
667,408,1743456069.7555401
677,408,1743456069.8325422
682,408,1743456069.9085805
685,408,1743456069.9859536
686,408,1743456070.0657632
687,408,1743456070.1443756
687,408,1743456070.22309
687,408,1743456070.3029919
687,408,1743456070.3786035
688,408,1743456070.4571135
688,408,1743456070.5372782
688,408,1743456070.6151333
688,408,1743456070.6914597
688,408,1743456070.7715185
688,408,1743456070.8487477
688,408,1743456070.9251657
688,408,1743456071.0108097
688,408,1743456071.0878794
688,408,1743456071.1514533
688,408,1743456071.2319865
688,444,1743456071.318776
688,572,1743456071.4053607
688,572,1743456071.481082
688,699,1743456071.5591798
688,776,1743456071.63879
688,799,1743456071.717167
688,799,1743456071.7953672
688,809,1743456071.872118
688,811,1743456071.951664
688,812,1743456072.028848
688,812,1743456072.1079845
688,812,1743456072.183256
688,812,1743456072.2459369
688,812,1743456072.3247585
688,812,1743456072.4059896
688,812,1743456072.484906
688,812,1743456072.5633168
688,812,1743456072.6399505
688,812,1743456072.715303
688,812,1743456072.7967203
688,812,1743456072.8729663
688,812,1743456072.9534519
688,812,1743456073.0313318
688,812,1743456073.1119835
688,812,1743456073.188719
688,812,1743456073.2522874
688,812,1743456073.3302658
688,812,1743456073.407812
688,812,1743456073.472464
688,812,1743456073.5385582
688,812,1743456073.616735
688,812,1743456073.6929028
688,812,1743456073.7720006
688,812,1743456073.8519204
688,812,1743456073.9300032
678,812,1743456074.0080407
631,812,1743456074.089038
607,812,1743456074.1656253
595,812,1743456074.2427807
589,812,1743456074.320336
577,812,1743456074.4015024
571,812,1743456074.4783292
568,812,1743456074.5544372
576,812,1743456074.6339068
588,812,1743456074.7157757
594,812,1743456074.7910569
641,788,1743456074.9474857
664,754,1743456075.045177
676,725,1743456075.1349711
682,711,1743456075.2118585
685,704,1743456075.29125
686,700,1743456075.371591
687,698,1743456075.449774
